"admit","paes","nem","rank"
"0",328,6.4,"Grupo B"
"1",636,6.5,"Grupo B"
"1",986,6.8,"Grupo D"
"1",599,6,"Grupo A"
"0",441,5.7,"Grupo A"
"1",910,5.8,"Grupo C"
"1",504,5.8,"Grupo D"
"0",344,5.9,"Grupo C"
"1",486,6.2,"Grupo B"
"0",587,6.7,"Grupo C"
"0",668,6.8,"Grupo A"
"0",376,6,"Grupo D"
"1",910,6.8,"Grupo D"
"0",587,5.9,"Grupo C"
"1",745,6.8,"Grupo D"
"0",409,6.2,"Grupo B"
"0",652,6.7,"Grupo A"
"0",312,5.4,"Grupo B"
"0",668,6.6,"Grupo C"
"1",486,6.6,"Grupo D"
"0",425,6,"Grupo B"
"1",682,6.4,"Grupo C"
"0",506,5.6,"Grupo A"
"0",571,6,"Grupo A"
"1",910,6.2,"Grupo C"
"1",986,6.5,"Grupo D"
"1",622,6.4,"Grupo D"
"1",468,6.5,"Grupo A"
"1",962,6,"Grupo C"
"0",441,6.1,"Grupo D"
"0",457,6.6,"Grupo A"
"0",636,6.2,"Grupo B"
"0",506,6.2,"Grupo B"
"1",818,6.8,"Grupo B"
"0",312,5.9,"Grupo D"
"0",344,5.8,"Grupo C"
"0",490,6,"Grupo D"
"0",441,5.7,"Grupo B"
"1",450,5.9,"Grupo C"
"1",468,5.5,"Grupo B"
"0",474,5.2,"Grupo C"
"1",522,6.1,"Grupo C"
"1",540,5.9,"Grupo C"
"0",425,6.1,"Grupo B"
"0",587,5.7,"Grupo C"
"1",414,6.3,"Grupo B"
"1",522,6.3,"Grupo C"
"0",425,5.8,"Grupo A"
"0",376,5.3,"Grupo A"
"0",344,6.2,"Grupo B"
"0",538,6.7,"Grupo B"
"0",376,5.9,"Grupo A"
"0",619,6.2,"Grupo A"
"1",723,6.1,"Grupo C"
"0",555,6.1,"Grupo B"
"1",735,6.8,"Grupo B"
"0",474,6,"Grupo B"
"0",328,5.7,"Grupo B"
"0",344,6.4,"Grupo C"
"0",506,5.6,"Grupo A"
"1",622,6,"Grupo C"
"0",474,6.1,"Grupo A"
"0",538,6.5,"Grupo B"
"1",656,6.7,"Grupo B"
"0",490,6.8,"Grupo B"
"0",506,6.4,"Grupo C"
"0",619,6.4,"Grupo A"
"0",522,6.1,"Grupo D"
"0",490,6.5,"Grupo D"
"0",668,6.5,"Grupo D"
"0",538,6.8,"Grupo B"
"0",263,5.7,"Grupo A"
"0",409,6.2,"Grupo A"
"0",490,6.8,"Grupo C"
"0",603,6.3,"Grupo A"
"0",603,6.8,"Grupo B"
"0",474,6.2,"Grupo B"
"1",818,6.8,"Grupo B"
"0",457,5.9,"Grupo D"
"1",622,6.8,"Grupo D"
"0",587,5.7,"Grupo A"
"0",522,5.9,"Grupo C"
"0",425,5.5,"Grupo C"
"0",328,5.7,"Grupo A"
"1",450,6.4,"Grupo B"
"0",441,5.8,"Grupo C"
"0",506,6.1,"Grupo C"
"0",506,6.3,"Grupo C"
"0",587,6.1,"Grupo D"
"1",682,6.8,"Grupo C"
"0",587,6.6,"Grupo C"
"1",781,6.4,"Grupo D"
"0",668,6.7,"Grupo C"
"0",490,5.7,"Grupo C"
